"variable","perc_var","pvals"
"SS load (pounds)",27.7,0.17
"Chloride load (pounds)",46.2,0.57
"NO2 + NO3 load (pounds)",37.3,0.4
"Ammonium load (pounds)",55.2,0.35
"TKN load (pounds)",21.1,0.26
"Orthophosphate load (pounds)",34.6,0.5
"TP load (pounds)",23.5,0.21
"TN load (pounds)",28.8,0.4
"Org N load (pounds)",21.8,0.25
"Peak discharge (cfs)",32.5,0.32
