"unique_storm_number","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max"
1,2012-01-17 12:00:00,15.4,11.2,15.4,10.1333333333333,15.4,16.0571428571429,30,10.9285714285714,30
3,2012-02-15 04:30:00,30,18.2,30,14.2,30,9.75857142857143,30,9.22142857142857,30
4,2012-02-21 21:00:00,8.31,9.255,10.2,10.87,14.1,36.7728571428571,106,21.6228571428571,106
5,2012-02-22 21:00:00,149,78.655,149,55.8366666666667,149,53.7728571428571,149,31.7657142857143,149
6,2012-02-27 00:35:00,114,92.25,114,90.2666666666667,114,132.158571428571,327,84.3292857142857,327
9,2012-04-05 20:35:00,9.65,9.925,10.2,11.1166666666667,13.5,10.6428571428571,19.9,9.65214285714286,19.9
12,2012-04-18 05:42:00,17.5,15.5,17.5,14.6333333333333,17.5,15.2571428571429,21.3,44.925,202
13,2012-04-18 23:56:00,17.5,15.5,17.5,14.6333333333333,17.5,15.2571428571429,21.3,44.925,202
16,2012-04-22 09:15:00,199,203.5,208,354,655,249.985714285714,655,137,655
22,2012-06-04 17:46:00,3.28,1.985,3.28,1.53666666666667,3.28,1.10285714285714,3.28,1.58857142857143,3.28
27,2012-07-03 15:39:00,0,0,0,0.00333333333333333,0.01,0.0385714285714286,0.09,0.248571428571429,1.04
30,2012-07-11 19:27:00,0.34,0.405,0.47,0.516666666666667,0.74,2.02,6.82,1.58714285714286,7.9
32,2012-07-12 13:53:00,0.89,0.615,0.89,0.566666666666667,0.89,1.17285714285714,2.94,1.64642857142857,7.9
37,2012-07-21 16:48:00,0.93,0.95,0.97,1.01333333333333,1.14,2.30428571428571,6.14,4.29,21.5
38,2012-07-26 07:40:00,5.47,3.665,5.47,3.59,5.47,5.59571428571429,16.2,6.7,21.5
41,2012-09-30 04:30:00,21.1,10.915,21.1,7.28333333333333,21.1,3.12142857142857,21.1,1.56071428571429,21.1
42,2012-10-03 21:15:00,30.2,59.25,88.3,80.5,123,37.6214285714286,123,18.8107142857143,123
44,2012-10-28 18:30:00,4.46,4.215,4.46,4.13333333333333,4.46,4.15714285714286,4.46,5.15928571428571,8.88
47,2012-12-27 19:55:00,3.7,3.7,3.7,3.71666666666667,3.75,3.73285714285714,3.82,3.88,4.44
48,2013-01-15 00:00:00,5,4,5,3.5,5,3.07142857142857,5,6.3,18
50,2013-02-23 21:10:00,17,15.5,17,14.6666666666667,17,14.1428571428571,17,15.1428571428571,17
52,2013-03-13 10:00:00,70,56.5,70,53.3333333333333,70,51.8571428571429,70,71.1428571428571,160
53,2013-03-14 09:29:00,180,125,180,97.6666666666667,180,69.8571428571429,180,72.5714285714286,180
54,2013-03-16 09:28:00,294,297,300,258,300,140.428571428571,300,100.714285714286,300
56,2013-03-23 09:12:00,162,173,184,178.333333333333,189,231.714285714286,318,186.071428571429,318
58,2013-03-25 09:12:00,175,176.5,178,171.666666666667,178,194.428571428571,261,204.428571428571,318
59,2013-03-26 09:41:00,200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318
60,2013-03-26 23:56:00,200,187.5,200,184.333333333333,200,185.714285714286,212,215.642857142857,318
61,2013-03-28 08:42:00,605,680.5,756,520.333333333333,756,322.857142857143,756,295,756
63,2013-04-01 01:47:00,208,182,208,215.333333333333,282,364.571428571429,756,279.5,756
65,2013-04-03 13:15:00,121,166.5,212,180.333333333333,212,275.571428571429,605,269.5,756
68,2013-04-18 17:53:00,24.7,23.85,24.7,23.9666666666667,24.7,25.1428571428571,30.9,50.6785714285714,177
73,2013-06-24 06:19:00,65.1,33.555,65.1,23.1866666666667,65.1,11.8514285714286,65.1,11.8214285714286,65.1
77,2013-10-17 23:07:00,3.62,2.115,3.62,1.59,3.62,1.04714285714286,3.62,0.935714285714286,3.62
79,2013-10-22 20:43:00,4.37,5.395,6.42,7.49666666666667,11.7,10.4171428571429,23.7,5.51928571428571,23.7
81,2013-11-03 10:02:00,80.5,42.72,80.5,29.7166666666667,80.5,16.2,80.5,18.2778571428571,80.5
85,2014-02-24 12:45:00,2.98,2.765,2.98,2.6,2.98,2.12714285714286,2.98,1.97642857142857,2.98
86,2014-02-28 01:14:00,4.28,4.17,4.28,4.02666666666667,4.28,3.32428571428571,4.28,2.48642857142857,4.28
87,2014-03-04 09:45:00,5.14,5.06,5.14,4.97,5.14,4.50714285714286,5.14,3.44642857142857,5.14
89,2014-03-13 11:15:00,46.8,43.15,46.8,39.8333333333333,46.8,27.52,46.8,16.3221428571429,46.8
90,2014-03-14 07:49:00,71.8,59.3,71.8,52.7,71.8,36.4714285714286,71.8,21.145,71.8
92,2014-03-29 12:46:00,65.7,51.8,65.7,49.8666666666667,65.7,60.8714285714286,78.4,97.1,218
93,2014-03-30 01:44:00,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
94,2014-03-30 18:25:00,273,169.35,273,125.533333333333,273,88.6714285714286,273,103.742857142857,273
95,2014-03-31 06:43:00,886,579.5,886,408.233333333333,886,204.6,886,151.457142857143,886
98,2014-04-28 05:25:00,194,108.1,194,82.2333333333333,194,53.9428571428571,194,56.2214285714286,194
101,2014-05-18 20:47:00,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8
102,2014-05-18 21:59:00,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8
103,2014-05-19 03:13:00,500,263.95,500,178.156666666667,500,81.8442857142857,500,57.4864285714286,500
104,2014-05-19 10:32:00,500,263.95,500,178.156666666667,500,81.8442857142857,500,57.4864285714286,500
105,2014-06-04 05:16:00,91.8,48.575,91.8,33.7533333333333,91.8,18.8614285714286,91.8,38.5592857142857,155
108,2014-07-29 03:23:00,7.85,4.095,7.85,2.87666666666667,7.85,1.55714285714286,7.85,1.54785714285714,7.85
111,2014-08-21 20:09:00,5.74,3.715,5.74,3.13333333333333,5.74,2.45285714285714,5.74,3.43357142857143,7.65
112,2014-08-22 05:34:00,110,57.87,110,39.1433333333333,110,17.8571428571429,110,10.7442857142857,110
114,2014-09-06 03:26:00,2.65,2.515,2.65,2.61333333333333,2.81,4.23571428571429,8.36,5.97928571428571,16.3
115,2014-09-07 04:30:00,34.6,18.625,34.6,13.21,34.6,7.98428571428571,34.6,7.28642857142857,34.6
117,2014-09-19 03:00:00,7.91,5.265,7.91,4.33333333333333,7.91,3.45,7.91,10.26,44.8
118,2014-09-29 19:19:00,2.61,2.495,2.61,2.55333333333333,2.67,3.68,6.85,5.33928571428571,12.9
