"stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","unique_storm_number"
1,2013-01-10 19:16:00,2013-01-11 09:18:00,0.34,14.0333333333333,0.0242280285035629,0.24,0.18,0.16,0.16,0.13,140.591807130452,0.224946891408723,166.571152936969,0.26651384469915,0,0,0,0,1
2,2013-01-29 01:24:00,2013-01-30 06:27:00,0.8,29.05,0.0275387263339071,1.2,0.66,0.52,0.52,0.4,544.279967961087,2.83025583339765,542.625539584926,2.82165280584162,0,0,0,0,3
3,2013-03-09 16:20:00,2013-03-11 16:09:00,1.3,46.8166666666667,0.0277678889284443,0.24,0.24,0.2,0.18,0.15,573.652293576184,1.03257412843713,690.339280556547,1.24261070500178,0,0,0,0,5
4,2013-03-27 08:00:00,2013-03-27 08:01:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5,2013-03-28 07:43:00,2013-03-28 07:44:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6,2013-03-30 11:02:00,2013-03-30 22:15:00,0.09,11.2166666666667,0.00802377414561664,0.12,0.12,0.08,0.08,0.06,38.5692889912003,0.0308554311929602,42.1590982542886,0.0337272786034309,0,0,0,0,9
7,2013-04-06 09:12:00,2013-04-07 01:09:00,0.04,15.95,0.00250783699059561,0.12,0.06,0.04,0.04,0.02,18.5260864342767,0.00741043457371068,12.9271777018036,0.00517087108072146,0,0,0.09,0.09,11
8,2013-04-08 09:14:00,2013-04-09 09:36:00,0.24,24.3666666666667,0.00984952120383037,0.24,0.24,0.16,0.12,0.1,117.374778002379,0.140849733602855,135.105075722563,0.162126090867075,0,0.03,0.04,0.13,13
9,2013-04-09 09:36:00,2013-04-09 16:31:00,0.6,6.91666666666667,0.0867469879518072,0.6,0.6,0.52,0.4,0.34,386.358436707839,1.54543374683136,411.779459445555,1.64711783778222,0.18,0.23,0.27,0.36,14
10,2013-04-09 22:22:00,2013-04-10 21:28:00,0.76,23.1,0.0329004329004329,2.04,1.2,0.8,0.44,0.23,432.126661141532,1.90135730902274,468.63596051824,2.06199822628025,0.61,0.84,0.88,0.97,15
11,2013-04-11 03:30:00,2013-04-12 05:23:00,0.22,25.8833333333333,0.00849967804249839,0.12,0.12,0.12,0.08,0.07,85.846921247376,0.0686775369979008,86.1739487229909,0.0689391589783927,0.51,1.37,1.64,1.73,16
12,2013-04-14 10:15:00,2013-04-15 14:57:00,0.39,28.7,0.013588850174216,0.36,0.36,0.32,0.24,0.2,220.285356555905,0.528684855734171,242.964126369611,0.583113903287066,0,0,1.82,1.86,18
13,2013-04-17 13:30:00,2013-04-19 11:04:00,0.39,45.5666666666667,0.008558888076079,0.24,0.18,0.16,0.14,0.14,165.380504691062,0.231532706567487,177.496755400015,0.248495457560022,0,0.01,0.85,2.25,19
14,2013-05-02 14:54:00,2013-05-03 20:42:00,1.59,29.8,0.0533557046979866,0.96,0.72,0.48,0.38,0.31,965.778654176352,3.66995888587014,1054.76043381276,4.00808964848849,0,0,0,0.05,22
15,2013-06-15 20:36:00,2013-06-16 10:04:00,0.89,13.4666666666667,0.0660891089108911,2.04,1.32,1.2,1.02,0.62,811.249553671079,8.27474544744501,782.503828391562,7.98153904959394,0,0,0,0,24
16,2013-06-21 08:57:00,2013-06-21 11:17:00,0.67,2.33333333333333,0.287142857142857,2.88,1.8,1.44,0.76,0.41,552.435553225018,4.19851020451014,567.322841486756,4.31165359529935,0,0,0.89,0.89,26
17,2013-06-22 23:09:00,2013-06-23 02:17:00,0.42,3.13333333333333,0.134042553191489,1.56,1.26,1,0.62,0.34,332.036464333644,2.05862607886859,330.06244983948,2.04638718900478,0,0.67,0.68,1.56,27
18,2013-07-08 05:15:00,2013-07-08 08:40:00,2.23,3.41666666666667,0.652682926829268,1.92,1.62,1.52,1.26,1.06,2154.41028932134,27.1455696454488,2035.87271530532,25.651996212847,0,0,0,0,28
19,2013-07-09 12:44:00,2013-07-09 13:28:00,0.22,0.733333333333333,0.3,1.32,0.9,0.68,0.38,0.22,187.072671451487,0.710876151515651,184.57837566733,0.701397827535855,0,2.23,2.23,2.23,29
20,2013-10-31 22:15:00,2013-10-31 22:16:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
21,2013-11-05 16:13:00,2013-11-06 10:21:00,0.95,18.1333333333333,0.0523897058823529,0.24,0.24,0.2,0.16,0.14,422.685327569405,0.676296524111047,515.892006285941,0.825427210057506,0,0,0,0,36
