"unique_storm_number","date","sw2_rain","sw1_rain","daily_rain","daily_rmk","storm_start","storm_end"
128,2015-10-31,0.37,0.324,0.33,"A",2015-10-31 10:56:00,2015-11-01 01:00:00
129,2015-11-17,0.85,0.711,0.71,"A",2015-11-17 17:02:00,2015-11-19 14:00:00
130,2015-11-26,1.34,1.161,1.15,"A",2015-11-26 14:27:00,2015-11-28 03:45:00
131,2015-11-30,0.53,0.369,0.14,"A",2015-11-30 23:00:00,2015-12-04 02:00:00
135,2015-12-13,0.96,0.862,1.44,"A e",2015-12-13 04:40:00,2015-12-13 13:05:00
136,2015-12-13,2.89,1.819,1.44,"A e",2015-12-13 13:05:00,2015-12-15 12:00:00
138,2015-12-16,0.17,0.189,0.15,"A",2015-12-16 05:44:00,2015-12-17 13:45:00
139,2015-12-23,0.32,0,0.27,"A",2015-12-23 05:45:00,2015-12-25 08:30:00
140,2016-02-19,0,0,0,"A",2016-02-19 16:30:00,2016-02-20 09:19:00
141,2016-02-20,0,0,0,"A",2016-02-20 09:19:00,2016-02-21 10:52:00
142,2016-02-21,0,0,0,"A",2016-02-21 10:52:00,2016-02-22 09:00:00
146,2016-02-28,0.01,0,0.01,"A",2016-02-28 08:15:00,2016-02-29 03:30:00
147,2016-03-06,0,0,0,"A e",2016-03-06 14:45:00,2016-03-06 20:47:00
148,2016-03-06,0,0,0,"A e",2016-03-06 20:47:00,2016-03-07 05:42:00
149,2016-03-07,0,0,0,"A",2016-03-07 05:42:00,2016-03-08 05:46:00
150,2016-03-08,0,0,0,"A",2016-03-08 05:46:00,2016-03-09 02:22:00
151,2016-03-09,0.15,0.171,0.14,"A",2016-03-09 02:22:00,2016-03-11 01:30:00
153,2016-03-13,0.33,0.306,0.24,"A",2016-03-13 17:30:00,2016-03-15 12:30:00
154,2016-03-15,0.69,1.239,0.36,"A",2016-03-15 16:45:00,2016-03-17 11:45:00
155,2016-03-26,0,0,0,"A",2016-03-26 12:30:00,2016-03-27 06:48:00
156,2016-03-27,0.18,0.198,0.16,"A",2016-03-27 06:48:00,2016-03-28 13:00:00
157,2016-03-30,0.81,0.657,0.33,"A",2016-03-31 00:17:00,2016-03-31 11:48:00
158,2016-03-31,0.28,0.288,0.68,"A",2016-03-31 11:48:00,2016-04-01 06:45:00
165,2016-06-10,0,0.732,NA,NA,2016-06-10 21:00:00,2016-06-10 23:00:00
