"unique_storm_number","sin_sdate","cos_sdate","tmax","tmin","snwd_diff"
1,0.188226709843243,0.982125605868001,7.2,-11.7,-7.0078778
3,0.478733840115788,0.877960084700888,7.2,-8.9,3.9763801
5,0.920971287716634,0.389630449530789,3.3,-9.4,-4.0157502
7,0.995918996147179,0.0902516100310421,7.2,-3.3,-2.0078751
8,0.997324973108155,0.0730951298980782,8.9,-3.3,-3.0314977
9,0.999250011239683,0.0387222808921754,7.2,-1.7,-2.0078751
11,0.99665890175417,-0.0816763953304215,10,-1,0
13,0.993256849267414,-0.1159345995955,3.9,0,0
14,0.991114063993455,-0.133014706534195,2.8,0,0
15,0.98867759023234,-0.150055398344652,2.8,-0.5,1.968505
16,0.985948149963831,-0.167051625502118,2.2,-0.5,-1.181103
18,0.976010550632369,-0.217723230396531,15.6,-3.2,-3.149608
19,0.963470548564149,-0.267814305162174,7.8,-3.8,0
22,0.863142128049912,-0.504961054721519,25,1.7,0
24,0.263665492728008,-0.964614175691243,28.3,13.3,0
26,0.179766585725562,-0.98370929377361,26.1,18.9,0
27,0.145799196919876,-0.989314203970366,30,17.2,0
28,-0.111659007121694,-0.993746580436178,28.3,19.4,0
29,-0.12874817745258,-0.99167731989929,27.2,18.3,0
35,-0.858763958275803,0.512371412128423,14.4,6.1,0
36,-0.821476553302415,0.570242292691787,12.2,-2.1,0
38,-0.699458327051648,0.71467338604296,14.4,0.6,0
39,-0.687052767223668,0.726607524768564,14.4,-2.1,0
40,0.927541683579196,0.373719714790471,11.7,-15.5,-7.086618
41,0.951056516295153,0.309016994374948,6.7,-11.6,-1.968505
42,0.956234826591905,0.292600335633349,1.1,-14.9,-1.968505
44,0.970063921851507,0.242849722095937,5,-5.5,-3.149608
47,0.995918996147179,0.0902516100310432,5,-0.5,-3.149608
48,0.997324973108155,0.0730951298980785,5,-0.5,0
53,0.982926551979983,-0.183998351657678,10,2.8,0
54,0.97961369164549,-0.200890555130635,10,2.8,0
55,0.97961369164549,-0.200890555130635,10,-4.9,1.968505
56,0.976010550632369,-0.217723230396531,3.3,-7.1,1.968505
57,0.888057322629494,-0.459732739452102,6.7,2.8,0
58,0.888057322629494,-0.459732739452102,12.2,2.8,0
59,0.880012203973536,-0.47495107206705,12.2,4.4,0
68,0.501241813445777,-0.865307254363205,30,18.3,0
69,0.486272707108691,-0.87380710361108,30,18.3,0
82,-0.806479946320943,-0.591261444863581,27.8,20,0
84,-0.903355802324684,-0.428891937912485,23.9,13.3,0
86,-0.982926551979982,-0.183998351657683,23.9,4.4,0
87,-0.98594814996383,-0.167051625502123,15,4.4,0
89,-0.999250011239684,0.0387222808921717,17.8,5,0
90,-0.977848341505657,0.209314645963048,16.7,8.9,0
92,-0.970063921851508,0.242849722095934,11.7,8.3,0
94,-0.608476870115128,0.793571608952146,9.4,-3.2,-1.181103
97,-0.25535329511619,0.966847813605277,7.2,-3.2,0
101,-0.137278772113268,0.990532452132222,6.1,0.6,0
105,0.914127988185333,0.405425728359998,11.7,-4.3,-2.755907
106,0.920971287716634,0.389630449530789,12.8,-1,-3.149608
107,0.927541683579196,0.373719714790471,13.3,-0.5,-1.181103
109,0.991114063993455,-0.133014706534195,5,2.2,0
