"stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","unique_storm_number"
38,2014-03-14 02:14:00,2014-03-14 02:15:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
39,2014-03-18 10:45:00,2014-03-18 10:46:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
40,2014-03-27 11:15:00,2014-03-27 23:53:00,0.477,12.6333333333333,0.0377572559366755,0.432,0.324,0.252,0.216,0.189,246.760249305047,0.5330021384989,286.334503144409,0.618482526791923,0,0,0,0,89
41,2014-03-28 07:49:00,2014-03-28 07:50:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0.477,0.477,0.477,0.477,90
42,2014-04-12 10:07:00,2014-04-12 23:25:00,1.074,13.3,0.0807518796992481,1.116,0.612,0.504,0.432,0.378,699.673486176572,3.02258946028279,754.33521113396,3.25872811209871,0,0,0,0,92
43,2014-04-13 01:44:00,2014-04-13 18:13:00,0.495,16.4833333333333,0.0300303336703741,0.432,0.324,0.288,0.234,0.207,280.269504577873,0.655830640712224,328.220600853086,0.76803620599622,1.074,1.074,1.074,1.074,93
44,2014-04-13 17:26:00,2014-04-14 03:42:00,1.143,10.2666666666667,0.111331168831169,0.324,0.27,0.252,0.234,0.216,613.176893003274,1.43483392962766,731.88395713932,1.71260845970601,0.486,1.533,1.533,1.533,94
45,2014-04-14 06:43:00,2014-04-14 14:16:00,0.036,7.55,0.0047682119205298,0.108,0.054,0.036,0.018,0.018,16.3494776865112,0.00294290598357201,13.9981295151072,0.00251966331271929,1.179,2.712,2.712,2.712,95
46,2014-05-12 04:31:00,2014-05-13 07:14:00,1.142,26.7166666666667,0.0427448533998752,1.464,1.056,0.884,0.77,0.602,880.403489927222,6.77910687243961,887.498541676899,6.83373877091212,0,0,0,0,98
47,2014-06-01 15:54:00,2014-06-01 21:52:00,1.843,5.96666666666667,0.308882681564246,10.584,7.146,7.164,4.344,2.586,5092.68154708088,221.226086405194,4995.93611898275,217.023465008611,0,0,0,0,101
48,2014-06-01 15:54:00,2014-06-02 02:24:00,2.248,10.5,0.214095238095238,10.584,7.146,7.164,4.344,2.586,5504.69263594208,239.123848105324,5493.7925452426,238.650348165338,0,0,0,0,102
49,2014-06-01 15:54:00,2014-06-02 05:18:00,2.48,13.4,0.185074626865672,10.584,7.146,7.164,4.344,2.586,5722.26150504127,248.575039778993,5697.45831934073,247.497589392161,0,0,0,0,103
50,2014-06-02 10:32:00,2014-06-02 15:23:00,0.796,4.85,0.164123711340206,3.552,2.562,1.924,1.286,0.742,743.556785265929,9.56214025851985,731.172770376672,9.402881827044,6.571,6.571,6.571,6.571,104
51,2014-06-18 02:19:00,2014-06-18 12:48:00,1.072,10.4833333333333,0.102257551669316,1.092,0.978,0.832,0.578,0.37,665.680746044579,3.84763471213766,731.200963970516,4.22634157174958,0,0,0,0,105
52,2014-08-11 21:02:00,2014-08-12 11:38:00,1.786,14.6,0.122328767123288,1.44,1.158,1.024,0.872,0.769,1274.67962731219,11.1152063501623,1326.96948537299,11.5711739124525,0,0,0,0,108
53,2014-09-04 19:32:00,2014-09-04 21:54:00,0.699,2.36666666666667,0.295352112676056,2.184,1.65,1.392,0.876,0.6,619.324732173704,5.42528465384165,606.986317299632,5.31720013954478,0,0,0,0,111
54,2014-09-05 05:34:00,2014-09-05 06:57:00,0.577,1.38333333333333,0.41710843373494,3.456,2.166,1.588,0.848,0.487,553.473147623436,4.69345229184673,540.224489051741,4.58110366715877,0.699,0.699,0.699,0.699,112
55,2014-09-20 03:07:00,2014-09-21 00:08:00,0.775,21.0166666666667,0.0368754956383822,1.8,1.68,1.408,0.83,0.487,601.892742549167,4.99570976315808,613.550100956069,5.09246583793538,0,0,0,0,114
56,2014-09-21 04:30:00,2014-09-21 09:09:00,0.324,4.65,0.0696774193548387,0.432,0.378,0.36,0.306,0.225,190.642255272416,0.583365301133592,212.847915341678,0.651314620945534,0.243,0.775,0.775,0.775,115
57,2014-10-03 02:54:00,2014-10-03 08:05:00,0.350999999,5.18333333333333,0.067717041607717,0.216000072,0.162000054,0.18000006,0.144000048,0.126000042,160.514582532147,0.231141075893292,197.931502091726,0.285021458019207,0,0,0,1.099,117
58,2014-10-13 16:35:00,2014-10-14 02:18:00,0.881999963,9.71666666666667,0.0907718658319039,0.863999724,0.539999898,0.432000028,0.288000038,0.224999988,506.329856261062,1.4582301784372,570.597388525795,1.6433206957813,0,0,0,0.350999999,118
59,2015-04-09 13:53:00,2015-04-09 15:15:00,0.234000019,1.36666666666667,0.171219526097561,0.324000108,0.324000108,0.288000096,0.269999972,0.198000007,139.775909922413,0.377394917653259,160.319016784157,0.432861300427898,0,0,0,0,131
60,2015-04-09 19:06:00,2015-04-09 20:43:00,0.189000007,1.61666666666667,0.116907220824742,0.324000108,0.269999736,0.216000076,0.197999952,0.126000045,103.898946251836,0.20571986370714,121.808955889169,0.241181674192257,0.234000019,0.234000019,0.234000019,0.234000019,132
61,2015-04-10 01:00:00,2015-04-10 04:28:00,0.143999937,3.46666666666667,0.0415384433653846,0.432000168,0.324000126,0.216000084,0.143999818,0.090000035,74.4695191488403,0.107235972039805,82.8511826319135,0.119305552200803,0.423000026,0.423000026,0.423000026,0.423000026,133
62,2015-05-17 16:53:00,2015-05-17 17:03:00,0.446000022,0.166666666666667,2.676000132,4.35600024,2.622000132,1.784000088,0.892000044,0.446000022,478.174889029186,4.2653202205373,466.120960133565,4.15779916948462,0,0,0,0,134
63,2015-05-24 12:57:00,2015-05-25 06:20:00,1.408000014,17.3833333333333,0.0809971244870566,0.996000876,0.71400018,0.512000132,0.395999918,0.317000041,927.64629059714,3.67347855009472,983.728317117184,3.89556332912683,0,0,0.446000022,0.446000022,135
64,2015-05-29 21:24:00,2015-05-30 12:43:00,0.773999982,15.3166666666667,0.0505331870729053,0.432000072,0.378000048,0.324000004,0.18000006,0.143999989,361.886779193788,0.651396419680886,424.896727035286,0.764814363601551,0,0,1.408000014,1.854000036,136
65,2015-06-11 21:21:00,2015-06-12 06:19:00,0.773999979,8.96666666666667,0.086319700260223,0.216000084,0.16200042,0.144000056,0.144000052,0.126000046,353.631452424838,0.509229475380122,445.911065844674,0.642112166690084,0,0,0,0.773999982,138
66,2015-06-15 15:32:00,2015-06-15 17:43:00,0.680000028,2.18333333333333,0.311450394503817,1.68000024,1.38000012,1.0640001,0.802000068,0.536000039,572.057233280578,4.58789939990915,565.653269744355,4.53653960799395,0,0,0.773999979,0.773999979,139
67,2015-09-08 08:09:00,2015-09-08 11:59:00,1.343999975,3.83333333333333,0.350608689130435,3.672,2.880000138,2.064000148,1.103999982,0.875000036,1204.96655731867,13.3028305759041,1199.2895214595,13.2401561010408,0,0,0,0,141
68,2015-09-18 21:19:00,2015-09-19 03:10:00,0.927,5.85,0.158461538461538,0.972000516,0.648000336,0.504000248,0.414000042,0.360000075,632.260860443758,2.61756022778672,675.880464146434,2.79814540543603,0,0,0,1.343999975,142
69,2015-11-26 13:06:00,2015-11-27 01:18:00,1.161,12.2,0.0951639344262295,0.324,0.27,0.252,0.216,0.18,562.357965852057,1.21469320624044,694.245241510271,1.49956972166218,0,0,0,0,146
70,2015-11-30 22:10:00,2015-12-01 08:12:00,0.369,10.0333333333333,0.0367774086378738,0.324,0.27,0.252,0.18,0.117,174.746227133796,0.314543208840833,198.908472326786,0.358035250188215,0,0,1.161,1.161,147
71,2015-12-13 04:33:00,2015-12-13 15:31:00,0.916,10.9666666666667,0.0835258358662614,1.452,1.092,0.872,0.544,0.29,737.963228676634,4.01451996400089,732.853431524673,3.98672266749422,0,0,0,0.369,150
72,2015-12-13 11:42:00,2015-12-15 22:36:00,1.828,58.9,0.0310356536502547,0.864,0.648,0.54,0.396,0.306,1001.9401053748,3.96768281728422,1127.31810597825,4.46417969967385,0.835,0.835,0.835,1.204,151
73,2015-12-16 05:27:00,2015-12-16 10:57:00,0.189,5.5,0.0343636363636364,0.216,0.216,0.18,0.162,0.108,90.0758900046105,0.145922941807469,103.064084872685,0.16696381749375,0.009,0.513,2.744,2.744,153
74,2015-12-23 11:00:00,2015-12-23 11:01:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.933,154
75,2016-02-20 10:45:00,2016-02-20 10:46:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
76,2016-02-21 11:30:00,2016-02-21 11:31:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
77,2016-03-06 20:00:00,2016-03-06 20:01:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
