"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
224,"ESW1-84",1916.5,11.2,0.05,0.23,10.04,0.29,2.98,9.81,14888,2017-04-15 23:58:00,2017-04-16 08:00:00,2017-04-15 23:58:00,2017-04-16 08:00:00,2.54,14888,0
225,"ESW1-85",837.9,8.5,0.04,0.21,4.86,0.24,1.48,4.65,11555,2017-04-20 01:26:00,2017-04-20 08:45:00,2017-04-20 01:26:00,2017-04-20 12:30:00,1.79,11555,0
226,"ESW1-86",110.6,14.2,0.03,0.1,1.67,0.23,0.46,1.57,9734,2017-04-27 03:51:00,2017-04-27 21:45:00,2017-04-27 03:51:00,2017-04-27 21:45:00,0.61,9734,0
227,"ESW1-87a",805.3,19.6,0.07,0.21,5.62,0.43,1.74,5.41,22164,2017-05-01 00:00:00,2017-05-01 15:04:00,2017-05-01 00:00:00,2017-05-01 15:04:00,2.04,22164,0
228,"ESW1-87b",11.3,5.7,0.01,0.02,0.47,0.06,0.1,0.45,3162,2017-05-01 15:05:00,2017-05-02 11:45:00,2017-05-01 15:05:00,2017-05-02 11:45:00,0.12,3162,0
229,"ESW1-88",1338.7,12,0.73,0.24,5.55,0.28,1.72,5.31,13075,2017-06-03 20:58:00,2017-06-04 09:45:00,2017-06-03 20:58:00,2017-06-04 09:45:00,2.84,13075,0
230,"ESW1-89a",173.6,2.2,0.04,0.01,0.73,0.05,0.25,0.71,3556,2017-06-22 01:42:00,2017-06-22 04:33:00,2017-06-22 01:42:00,2017-06-22 04:33:00,0.68,3556,0
231,"ESW1-89b",360.6,14.2,0.14,0.12,2,0.21,0.61,1.88,10919,2017-06-22 04:33:00,2017-06-22 14:38:00,2017-06-22 04:33:00,2017-06-22 14:38:00,1.6,10919,0
232,"ESW1-90",73.9,28.3,0.06,0.1,2.6,0.5,0.67,2.5,19738,2017-06-22 17:07:00,2017-06-23 13:15:00,2017-06-22 17:07:00,2017-06-23 13:15:00,1.1,19738,0
233,"ESW1-91",1671.2,1.6,1.19,0.09,8.28,0.47,2.83,8.19,13637,2017-07-07 18:00:00,2017-07-08 03:15:00,2017-07-07 18:00:00,2017-07-08 03:15:00,2.72,13637,0
234,"ESW1-92",51.9,1.9,0.02,0.03,0.44,0.08,0.18,0.42,2825,2017-07-15 20:54:00,2017-07-16 03:15:00,2017-07-15 20:54:00,2017-07-16 03:15:00,0.41,2825,0
235,"ESW1-93a",601.3,0.1,0.03,0.05,2.55,0.33,0.97,2.5,8115,2017-08-03 11:16:00,2017-08-03 14:06:00,2017-08-03 11:16:00,2017-08-03 14:06:00,2,8115,0
236,"ESW1-93b",252.9,6.5,0.03,0.05,2.03,0.46,0.79,1.98,10688,2017-08-03 14:06:00,2017-08-04 04:15:00,2017-08-03 14:06:00,2017-08-04 04:15:00,1.39,10688,0
237,"ESW1-94",70.1,6.1,0.02,0.03,1.04,0.22,0.36,1.01,6311,2017-08-04 08:00:00,2017-08-04 22:15:00,2017-08-04 08:05:00,2017-08-04 22:15:00,0.72,6311,0
239,"ESW1-95",18,2.2,0.04,0.02,0.84,0.46,0.53,0.83,13766,2018-06-18 04:37:00,2018-06-18 16:45:00,2018-06-18 04:37:00,2018-06-18 16:45:00,2.84,13766,0
240,"ESW1-96",792.1,3.6,0.11,0.23,4.78,2.35,3.42,4.55,34201,2018-08-28 16:03:00,2018-08-29 11:00:00,2018-08-28 16:03:00,2018-08-29 11:00:00,6.04,34201,0
241,"ESW1-97",1604,9.1,0.59,0.24,11.62,3.54,6.49,11.38,47232,2018-09-04 00:15:00,2018-09-04 18:00:00,2018-09-04 00:15:00,2018-09-04 18:00:00,5.11,47232,0
242,"ESW1-98",13,4,0.01,0.03,0.52,0.32,0.39,0.5,3717,2018-09-05 07:00:00,2018-09-06 00:00:00,2018-09-05 07:00:00,2018-09-06 00:00:00,0.21,3717,0
244,"ESW1-99",71.7,1.9,0.04,0.04,0.8,0.28,0.4,0.76,3207,2018-09-21 01:32:00,2018-09-21 10:30:00,2018-09-21 01:32:00,2018-09-21 10:30:00,0.33,3207,0
