"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
61,"ESW1-24d",243.6,66.4,21.51,0.71,3.56,0.51,0.85,2.84,16330,2013-04-11 08:43:00,2013-04-13 23:18:00,2013-04-11 08:42:00,2013-04-13 23:18:00,0.18,16330,1
63,"ESW1-24e",1472.8,27.6,8.45,0.28,6.37,0.25,1.75,6.1,7914,2013-04-15 01:47:00,2013-04-15 18:00:00,2013-04-15 01:47:00,2013-04-15 18:00:00,0.57,7914,1
65,"ESW1-25",104.2,37.1,5.41,0.2,1.46,0.22,0.41,1.26,7102,2013-04-17 13:15:00,2013-04-19 21:30:00,2013-04-17 13:15:00,2013-04-19 21:45:00,0.12,7102,1
68,"ESW1-26",1786.8,88.5,31.52,0.52,7.9,0.93,2.69,7.38,26153,2013-05-02 17:55:00,2013-05-06 08:00:00,2013-05-02 17:53:00,2013-05-06 08:15:00,0.66,26153,0
73,"ESW1-27",1396.7,34.8,16.49,0.12,4.65,0.21,1.38,4.53,7024,2013-07-08 06:20:00,2013-07-08 15:15:00,2013-07-08 06:19:00,2013-07-08 15:15:00,2.21,7024,0
77,"ESW1-28",16.9,0.5,0.02,0.01,0.14,0.02,0.05,0.13,484,2013-10-31 23:13:00,2013-11-01 05:00:00,2013-10-31 23:07:00,2013-11-01 05:15:00,0.06,484,0
79,"ESW1-29",24.9,1.4,0.14,0,0.24,0.04,0.09,0.24,1313,2013-11-05 19:45:00,2013-11-06 16:15:00,2013-11-05 19:43:00,2013-11-06 16:30:00,0.04,1313,0
81,"ESW1-30",35.7,19.6,0.01,0.11,1.65,0.03,0.26,1.55,2290,2013-11-17 10:14:00,2013-11-18 21:15:00,2013-11-17 10:02:00,2013-11-18 21:30:00,0.11,2290,0
85,"ESW1-31a",0.4,10.4,1,1.23,2.05,0.47,0.53,0.82,6437,2014-03-10 14:00:00,2014-03-14 02:14:00,2014-03-10 13:45:00,2014-03-14 02:14:00,0.05,6437,1
86,"ESW1-31b",26.8,41,1.01,5.2,12.57,2.39,3.1,7.38,13427,2014-03-14 02:14:00,2014-03-18 10:45:00,2014-03-14 02:14:00,2014-03-18 10:45:00,0.12,13427,1
87,"ESW1-31c",9.7,25.3,0.51,3.15,5.47,1.15,1.41,2.32,9132,2014-03-18 10:45:00,2014-03-22 10:16:00,2014-03-18 10:45:00,2014-03-22 10:16:00,0.12,9132,1
89,"ESW1-32a",127.7,10.7,0.9,1.22,3.01,0.44,0.77,1.8,5746,2014-03-27 11:15:00,2014-03-28 07:49:00,2014-03-27 11:15:00,2014-03-28 07:49:00,0.26,5746,1
90,"ESW1-32b",227.1,37.4,1.33,4.14,8.93,1.57,2.2,4.79,15224,2014-03-28 07:49:00,2014-03-30 04:30:00,2014-03-28 07:49:00,2014-03-30 04:30:00,0.35,15224,1
92,"ESW1-33a",351.6,14.5,1.87,0.3,2.3,0.11,0.62,2,3093,2014-04-12 12:50:00,2014-04-13 01:44:00,2014-04-12 12:46:00,2014-04-13 01:44:00,0.26,3093,0
93,"ESW1-33b",311,27.1,5.97,0.55,3.07,0.26,0.71,2.52,5530,2014-04-13 01:44:00,2014-04-13 18:25:00,2014-04-13 01:44:00,2014-04-13 18:25:00,0.4,5530,0
94,"ESW1-33c",2183.1,76.2,17.06,2,12.66,1.4,3.76,10.66,21349,2014-04-13 18:25:00,2014-04-14 06:43:00,2014-04-13 18:25:00,2014-04-14 06:43:00,1.26,21349,0
95,"ESW1-33d",136.7,24.7,4.98,0.65,2.55,0.38,0.58,1.9,6480,2014-04-14 06:43:00,2014-04-14 22:00:00,2014-04-14 06:43:00,2014-04-14 22:00:00,0.2,6480,0
98,"ESW1-34",720.9,36.6,6.64,0.18,4.94,0.4,1.36,4.76,11310,2014-05-12 05:25:00,2014-05-13 14:30:00,2014-05-12 05:25:00,2014-05-13 14:30:00,0.7,11310,0
101,"ESW1-35b",133.4,2.8,0.46,0.02,0.6,0.02,0.17,0.59,700,2014-06-01 20:47:00,2014-06-01 21:59:00,2014-06-01 20:47:00,2014-06-01 21:59:00,0.26,700,0
102,"ESW1-35c",7506.7,37.3,7.41,0.31,25.61,0.28,8.27,25.29,8545,2014-06-01 21:59:00,2014-06-02 03:13:00,2014-06-01 21:59:00,2014-06-02 03:13:00,0.79,8545,0
103,"ESW1-35d",6427,38.5,7.08,0.37,19.9,0.42,6.08,19.53,11344,2014-06-02 03:13:00,2014-06-02 10:32:00,2014-06-02 03:13:00,2014-06-02 10:32:00,1.99,11344,0
104,"ESW1-35e",34012.8,48.2,6.37,0.61,72.83,1.05,23.67,72.22,24304,2014-06-02 10:32:00,2014-06-03 01:30:00,2014-06-02 10:32:00,2014-06-03 01:31:00,3.52,24304,0
