"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
44,"ESW2-17",334.4,4.695518652,2.276615104,1.32,4.524772519,0.573422429,1.094198134,6.8,3.2,22792,2014-03-18 15:00:00,2014-03-18 15:00:00,2014-03-18 14:45:00,2014-03-21 08:30:00,0.44,22792,1
47,"ESW2-19a",2168.7,8.709207046,5.282633782,1.16,11.99300642,0.545396245,3.969114031,17.28,10.84,22870,2014-03-27 14:45:00,2014-03-27 14:45:00,2014-03-27 14:30:00,2014-03-28 08:00:00,1.85,22870,1
48,"ESW2-19b",264.8,3.205103836,2.019654472,0.32,2.1952766,0.199770171,0.632239661,4.21,1.87,7033,2014-03-28 08:00:00,2014-03-28 08:00:00,2014-03-28 08:00:00,2014-03-28 22:30:00,0.42,7033,1
53,"ESW2-20a",1050.8,16.25470174,3.673663242,0.12,5.082739554,0.204316065,1.932447514,8.76,4.96,8061,2014-04-12 13:12:00,2014-04-12 13:12:00,2014-04-12 13:12:00,2014-04-13 01:56:00,0.82,8061,0
54,"ESW2-20b",2134.9,39.1428066,12.47262312,0.13,9.951561,0.479001803,3.808130676,22.42,9.82,21254,2014-04-13 01:56:00,2014-04-13 01:56:00,2014-04-13 01:56:00,2014-04-13 17:15:00,1.85,21254,0
55,"ESW2-20c",14189.7,68.54052686,28.71292342,0.14,54.18406516,1.630153071,22.09042656,82.9,54.05,74183,2014-04-13 17:15:00,2014-04-13 17:15:00,2014-04-13 17:15:00,2014-04-14 07:46:00,4.58,74183,0
56,"ESW2-20d",287.8,18.97571203,7.194088626,0.07,2.543996558,0.362832296,0.989447841,9.74,2.47,16701,2014-04-14 07:46:00,2014-04-14 07:46:00,2014-04-14 07:46:00,2014-04-15 02:15:00,0.91,16701,0
57,"ESW2-21a",50.8,5.753350708,0.43042524,0.02,0.470598262,0.04519465,0.140749053,0.9,0.45,2298,2014-04-29 02:52:00,2014-04-29 02:52:00,2014-04-29 02:45:00,2014-04-29 15:59:00,0.18,2298,0
58,"ESW2-21b",77.4,24.37549915,4.035317532,0.04,1.292392237,0.185406481,0.326642595,5.33,1.25,8735,2014-04-29 15:59:00,2014-04-29 15:59:00,2014-04-29 15:59:00,2014-04-30 13:49:00,0.52,8735,0
59,"ESW2-21c",9,13.99259596,2.105308016,0.01,0.572541082,0.093198391,0.11835939,2.68,0.56,4113,2014-04-30 13:49:00,2014-04-30 13:49:00,2014-04-30 13:49:00,2014-05-01 17:45:00,0.14,4113,0
