"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","tp_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
217,"ESW2-80",187,84.6,2.67,3.36,9.85,0.7,1.37,12.52,6.49,17828,2017-03-30 01:00:00,2017-03-30 01:00:00,2017-03-30 01:00:00,2017-03-31 15:30:00,0.56,17828,0
219,"ESW2-81",344.9,89,1.87,1.88,9.87,0.92,2.2,11.74,7.99,23021,2017-04-03 19:45:00,2017-04-03 19:45:00,2017-04-03 19:45:00,2017-04-04 21:30:00,0.84,23021,0
221,"ESW2-82",169.8,4.3,0.55,0.04,1.08,0.04,0.38,1.63,1.04,1874,2017-04-15 05:18:00,2017-04-15 05:18:00,2017-04-15 05:18:00,2017-04-15 16:15:00,0.29,1874,0
222,"ESW2-83",24872.7,98.6,7.12,0.93,107.83,1.37,40.93,114.95,106.91,57007,2017-04-15 23:30:00,2017-04-15 23:30:00,2017-04-15 23:30:00,2017-04-16 14:30:00,14.16,57007,0
223,"ESW2-84a",10631.1,57.7,2.96,0.37,49.58,0.85,18.97,52.54,49.21,40621,2017-04-20 01:06:00,2017-04-20 01:06:00,2017-04-20 01:06:00,2017-04-20 18:45:00,5.36,40621,0
224,"ESW2-84b",44.2,7.8,0.2,0.02,0.67,0.07,0.17,0.87,0.65,2834,2017-04-20 18:45:00,2017-04-20 18:45:00,2017-04-20 18:45:00,2017-04-21 09:00:00,0.29,2834,0
225,"ESW2-85",530.8,29.9,1.61,0.15,4.41,0.35,1.52,6.02,4.26,15644,2017-04-27 04:31:00,2017-04-27 04:31:00,2017-04-27 04:31:00,2017-04-28 05:30:00,0.93,15644,0
226,"ESW2-86a",5901.3,68.6,1.98,0.28,29.38,1.05,10.79,31.36,29.1,45251,2017-05-01 00:15:00,2017-05-01 00:15:00,2017-05-01 00:15:00,2017-05-01 15:03:00,5.19,45251,0
227,"ESW2-86b",230,34.1,0.33,0.1,2.67,0.33,0.8,3,2.57,10649,2017-05-01 15:04:00,2017-05-01 15:04:00,2017-05-01 15:04:00,2017-05-02 14:15:00,0.63,10649,0
228,"ESW2-87",9607.4,9.6,17.39,0.98,40.78,0.31,9.75,58.17,39.8,19213,2017-06-03 05:51:00,2017-06-03 05:51:00,2017-06-03 05:51:00,2017-06-03 13:15:00,9.45,19213,0
231,"ESW2-89",3647.8,1.4,1.83,0.15,11.47,0.17,4.38,13.29,11.31,7497,2017-06-14 15:45:00,2017-06-14 15:45:00,2017-06-14 15:51:00,2017-06-14 19:45:00,5.32,7497,0
232,"ESW2-90",1627.4,0.7,0.42,0.05,5.04,0.06,1.91,5.47,5,3560,2017-06-18 04:57:00,2017-06-18 04:57:00,2017-06-18 04:57:00,2017-06-18 07:15:00,2.74,3560,0
233,"ESW2-91",1780.8,1.7,2.32,0.07,5.79,0.04,2.12,8.11,5.72,3446,2017-06-18 13:00:00,2017-06-18 13:00:00,2017-06-18 13:00:00,2017-06-18 16:00:00,2.76,3446,0
236,"ESW2-93",9828.8,116.2,92.12,0.64,46.86,1.7,12.74,138.98,46.22,64157,2017-06-22 16:47:00,2017-06-22 16:47:00,2017-06-22 16:47:00,2017-06-23 10:45:00,8.23,64157,0
241,"ESW2-95",6975.6,6.3,4.41,0.58,23.37,0.79,9.1,27.78,22.79,44148,2017-07-15 20:45:00,2017-07-15 20:45:00,2017-07-15 20:45:00,2017-07-15 23:45:00,28.4,44148,0
246,"NA",69.5,3.9,0.78,0.38,1.16,0.29,0.44,1.94,0.78,2324,2018-01-11 04:00:00,2018-01-11 04:00:00,2018-01-11 04:00:00,2018-01-11 22:30:00,0.1,2324,1
247,"ESW2-96",690.6,38.4,7.79,3.75,11.51,2.88,4.33,19.29,7.76,23096,2018-01-22 05:45:00,2018-01-22 05:45:00,2018-01-22 05:45:00,2018-01-22 21:03:00,1.95,23096,1
249,"ESW2-97",17.7,6.4,0.99,0.54,1.24,0.32,0.39,2.23,0.69,2695,2018-01-26 10:45:00,2018-01-26 10:45:00,2018-01-26 10:45:00,2018-01-27 21:00:00,0.1,2695,1
250,"ESW2-98",199.9,14.8,2.58,1.68,4.49,1.04,1.46,7.06,2.81,11156,2018-02-15 10:00:00,2018-02-15 10:00:00,2018-02-15 10:00:00,2018-02-16 01:20:00,1,11156,1
252,"ESW2-99",118.8,12.6,0.03,1.33,3.76,0.94,1.26,6.4,2.44,10065,2018-02-23 05:49:00,2018-02-23 05:49:00,2018-02-23 05:49:00,2018-02-23 20:33:00,0.48,10065,1
254,"ESW2-100",7417.1,45,9.78,4.42,34.43,2.95,13.57,44.22,30.01,30140,2018-02-24 21:00:00,2018-02-24 21:00:00,2018-02-24 21:00:00,2018-02-25 05:25:00,5.43,30140,1
257,"ESW2-101",4.7,3.8,0.46,0.02,0.22,0.01,0.02,0.68,0.2,1198,2018-04-11 08:15:00,2018-04-11 08:15:00,2018-04-11 08:15:00,2018-04-12 13:12:00,0.11,1198,0
259,"ESW2-102",300.8,26.8,5.79,0.2,3.31,0.11,0.75,9.1,3.1,4687,2018-04-13 06:19:00,2018-04-13 06:19:00,2018-04-13 06:19:00,2018-04-14 02:03:00,0.41,4687,0
262,"ESW2-103",90.7,207.2,75.5,1.52,8.27,1.11,1.36,83.77,6.75,29640,2018-04-21 07:31:00,2018-04-21 07:31:00,2018-04-21 07:31:00,2018-04-22 07:01:00,0.85,29640,0
263,"ESW2-104",1911.8,463.4,202.05,3.8,25.54,3.54,6.18,227.59,21.74,79133,2018-04-22 07:01:00,2018-04-22 07:01:00,2018-04-22 07:01:00,2018-04-23 06:22:00,3.04,79133,0
264,"ESW2-105",632.4,367.7,162.14,2.76,19.19,2.75,3.93,181.33,16.43,58893,2018-04-23 06:22:00,2018-04-23 06:22:00,2018-04-23 06:22:00,2018-04-26 17:30:00,1.87,58893,0
278,"ESW2-106A",918.9,24.5,3.92,0.33,7,1.78,3.01,10.92,6.67,52382,2018-08-28 16:02:00,2018-08-28 16:02:00,2018-08-28 16:02:00,2018-08-28 18:56:00,14.71,52382,0
279,"ESW2-106B",27.8,17,1.37,0.04,1.61,0.39,0.47,2.97,1.56,7819,2018-08-28 18:56:00,2018-08-28 18:56:00,2018-08-28 18:56:00,2018-08-28 22:03:00,1.68,7819,0
280,"ESW2-106C",12,18.7,0.79,0.03,1.45,0.34,0.39,2.24,1.42,6639,2018-08-28 22:03:00,2018-08-28 22:03:00,2018-08-28 22:03:00,2018-08-29 05:37:00,0.79,6639,0
281,"ESW2-106D",0.3,4.3,0.04,0,0.22,0.05,0.05,0.26,0.22,1129,2018-08-29 05:37:00,2018-08-29 05:37:00,2018-08-29 05:37:00,2018-08-30 12:00:00,0.1,1129,0
282,"ESW2-107",5343.9,119.7,16.96,0.85,44.39,8.3,17.91,61.36,43.54,150972,2018-09-03 22:28:00,2018-09-03 22:28:00,2018-09-03 22:28:00,2018-09-04 12:52:00,17.37,150972,0
284,"ESW2-108",57.7,35.9,0.06,0.09,3.54,1.09,1.24,3.59,3.45,18107,2018-09-05 05:00:00,2018-09-05 05:00:00,2018-09-05 05:00:00,2018-09-05 21:46:00,1.42,18107,0
287,"ESW2-109",1337.3,7.7,0.1,0.03,6.37,0.59,2.91,6.46,6.33,7904,2018-09-21 01:30:00,2018-09-21 01:30:00,2018-09-21 01:30:00,2018-09-21 08:30:00,1.78,7904,0
